v.id,on road old,on road now,years,km,rating,condition,economy,top speed,hp,torque,current price
1,535651,798186,3,78945,1,2,14,177,73,123,351318
2,591911,861056,6,117220,5,9,9,148,74,95,285001.5
3,686990,770762,2,132538,2,8,15,181,53,97,215386
4,573999,722381,4,101065,4,3,11,197,54,116,244295.5
5,691388,811335,6,61559,3,9,12,160,53,105,531114.5
6,650007,844846,6,148846,2,9,13,138,61,109,177933.5
7,633344,756063,5,78025,1,9,15,171,94,132,410877
8,662990,891569,6,76546,1,2,12,146,109,96,467471.5
9,543184,841354,7,57662,4,7,14,151,50,132,462397.5
10,573043,879481,2,132347,2,3,12,200,115,82,197266
11,669458,782853,7,106819,2,5,12,164,87,113,292308.5
12,668839,802272,6,117221,5,2,9,187,74,87,264576.5
13,619831,780397,4,53513,3,9,13,174,81,92,515454
14,539406,891627,6,86704,1,7,15,175,118,107,373529
15,502932,874387,7,51547,2,1,9,146,60,107,474281.5
16,658177,759879,7,70564,1,10,15,176,74,119,468666
17,556598,849902,4,130514,3,9,15,189,120,133,210661.5
18,583560,882426,4,115576,2,6,14,195,69,93,274357.5
19,671058,843316,5,79458,5,1,14,156,84,132,439639.5
20,652172,832672,2,140673,4,8,10,153,73,86,196816
21,560976,719003,7,130523,5,5,10,187,75,129,112864.5
22,582509,866266,6,81194,5,9,11,182,95,139,427079
23,630883,744258,6,94437,5,9,15,176,84,126,337327
24,519144,886024,6,139685,2,2,11,163,52,121,140216.5
25,651106,779208,4,53137,3,8,8,191,109,121,518845
26,577040,723283,3,74489,1,9,8,179,96,136,381846.5
27,529558,833873,4,85911,1,3,13,145,79,78,337917
28,604287,786970,4,100572,3,9,12,141,63,71,322684
29,667905,842018,7,143488,4,4,12,142,74,74,173847
30,503327,873403,7,101416,3,8,9,171,77,128,291031.5
31,519972,887661,2,90429,5,6,13,137,82,111,347784.5
32,624535,801702,5,67075,1,8,15,138,110,75,459914.5
33,697680,705256,7,129855,2,6,9,157,92,70,177748.5
34,639183,859130,2,146017,4,4,9,162,55,75,166283
35,630489,717182,5,96226,1,9,8,191,101,94,317119
36,607617,805462,7,125676,2,3,15,164,87,93,195854
37,531436,700159,4,121583,4,4,10,196,108,108,130233.5
38,508335,757721,6,54003,2,7,11,160,106,80,421781
39,523294,762865,3,94258,1,10,11,173,101,120,316184
40,669414,825723,4,124136,3,3,10,159,50,90,250955
41,595967,873068,5,85276,5,6,11,157,84,79,397522
42,623158,878859,6,74674,5,1,10,158,83,81,450198.5
43,623187,851197,6,111922,3,9,13,193,59,140,315542.5
44,578908,850550,7,72391,5,8,15,163,81,130,435007.5
45,510868,804221,2,129439,2,4,15,153,106,107,140596
46,645738,863715,4,103761,4,10,11,162,107,96,389925.5
47,645596,719594,3,97328,4,2,8,154,64,90,293875.5
48,589508,737952,3,87920,5,6,15,182,71,127,317681.5
49,581432,847558,2,79912,5,8,13,160,118,130,413066
50,596607,792572,4,95771,1,9,12,136,88,115,340760
51,624057,712356,5,113301,1,8,13,162,79,122,230090.5
52,508364,761766,2,139139,4,9,9,154,108,80,108741
53,627884,885941,3,56698,4,1,9,198,98,118,530759
54,676170,710374,6,134933,2,5,11,181,112,73,151474
55,602722,834949,4,119131,1,3,9,181,105,137,242173.5
56,589692,776028,7,91182,2,10,15,178,53,71,360008
57,593348,736659,6,70499,5,5,11,184,51,78,382461.5
58,665615,878127,7,79813,3,1,13,158,110,138,444625
59,670179,762533,3,65710,2,6,13,165,107,124,457581
60,579359,888002,2,88139,1,1,10,200,66,118,381351.5
61,595184,860907,7,122778,2,9,9,136,106,136,258300
62,558209,767363,3,140885,4,8,12,151,59,114,116254.5
63,552511,877846,7,146376,3,10,12,141,58,112,171620
64,635177,864741,3,67689,4,6,11,176,55,102,483708.5
65,643034,892814,5,94688,5,3,9,173,84,99,389512
66,617740,730220,2,121698,1,8,13,156,89,96,203811.5
67,674907,768549,4,99207,4,2,14,160,64,100,325176
68,591834,765751,5,94365,1,4,8,194,81,95,300499.5
69,620112,850548,5,113638,4,9,8,171,51,120,309455
70,685935,784038,5,111461,2,8,12,142,73,114,304216.5
71,598889,850999,3,129721,3,2,14,146,84,93,206335.5
72,573022,817830,6,54169,3,2,12,191,102,111,475273.5
73,532410,803816,3,52156,4,7,13,143,118,90,468543
74,557537,807222,4,50714,1,10,15,178,85,125,529318.5
75,572094,714521,4,129978,5,3,14,169,105,90,124847.5
76,602489,833980,6,104924,1,3,11,158,55,125,295002
77,571750,746437,7,124272,2,3,13,146,69,119,153991
78,574691,751513,2,114702,4,5,11,175,61,120,206591
79,541051,785642,5,91792,5,5,15,189,82,68,298023
80,576412,749928,4,114468,2,8,11,137,55,140,221412.5
81,595886,752626,2,62563,2,4,12,158,110,118,424781
82,548129,863055,2,77250,2,8,15,184,114,101,413288
83,669082,883158,3,115617,5,3,10,151,58,69,315403.5
84,695797,872137,7,81941,3,10,11,144,60,129,498148
85,577821,762633,2,87661,1,8,11,150,107,82,336181.5
86,534765,771066,6,78783,3,8,13,165,89,70,350647.5
87,670970,700746,4,135574,4,8,9,156,66,106,160150.5
88,560455,776230,4,79799,4,6,14,166,84,121,353318
89,515848,719890,6,68791,5,9,13,154,92,127,370175
90,624982,754152,7,67045,1,8,13,188,118,127,429669
91,507804,835300,7,97320,3,10,13,175,82,114,324260
92,524837,862388,5,112977,1,4,10,194,110,139,240926
93,535574,740396,7,64457,5,7,13,159,77,76,381960
94,655253,874106,4,141405,4,2,10,197,72,107,199313.5
95,557699,879964,7,105139,5,3,11,197,114,87,291815.5
96,685511,806008,2,122212,3,8,15,143,73,106,273674.5
97,687137,773677,3,50460,2,3,9,183,68,90,528794
98,685165,700885,6,143513,3,6,15,141,117,102,119387
99,621793,855595,7,98931,4,8,12,162,104,74,351704.5
100,574353,884315,2,140286,2,4,11,172,79,105,168940.5
101,508452,785537,4,78314,2,3,15,188,65,138,333672
102,698748,837828,3,110549,5,9,10,183,79,111,357294
103,600762,858008,2,118272,4,10,9,152,118,79,307008
104,607602,858063,4,96206,5,4,8,194,53,71,349762
105,500265,753148,7,52701,5,7,9,184,108,84,417693.5
106,677780,888243,4,67968,1,1,14,165,119,121,510929
107,519909,789003,4,66514,3,10,13,139,50,69,438223
108,684018,738298,3,130238,1,7,13,200,58,72,198738
109,661095,828377,2,61760,4,1,11,136,117,77,498418
110,538205,838310,2,52701,3,5,8,143,59,128,479318.5
111,574756,890770,5,61160,3,6,9,167,65,106,490779.5
112,600109,884745,7,74321,2,2,12,192,113,95,437043.5
113,538623,721997,7,119412,3,6,8,184,80,118,148491
114,666094,871905,6,104220,3,9,8,198,119,129,378132.5
115,630266,706950,6,130732,4,9,10,135,90,83,172032.5
116,684369,829557,2,131804,2,4,8,144,55,76,230428.5
117,629587,818914,2,74161,4,9,11,179,100,107,457880.5
118,634461,710901,2,115874,4,9,8,155,51,119,239400
119,658513,734546,6,105989,3,4,9,149,78,119,269532.5
120,658016,865597,4,112697,4,4,11,142,99,124,311773.5
121,573767,863639,4,87427,1,6,12,151,79,74,372595.5
122,606327,838077,3,60414,3,5,12,164,110,72,482353.5
123,553989,841852,3,147158,2,1,8,159,62,82,109367
124,671462,829731,4,119637,1,7,14,146,59,136,280209
125,643495,800644,7,93270,2,5,12,192,89,100,342427
126,652544,783771,7,83487,4,5,10,141,62,79,378071.5
127,625255,846911,5,68992,3,3,15,195,106,73,459095
128,619240,776455,3,149413,1,6,12,186,86,89,104215
129,529515,729234,5,74320,2,3,13,144,92,73,330908.5
130,698453,746977,4,93630,4,8,15,182,96,135,364898
131,560875,876132,2,115616,1,3,9,141,101,98,256356
132,516747,780413,2,74396,1,6,15,159,95,134,355175
133,524395,783352,2,139517,4,2,11,179,102,71,96554
134,660260,791726,2,75311,4,4,10,143,74,89,425960
135,632769,841027,7,60944,4,6,11,151,116,111,489368
136,625747,780263,5,125694,2,7,13,155,86,123,207352.5
137,545819,826738,7,124033,4,10,13,146,107,121,232526.5
138,521023,713000,5,66028,5,9,12,177,57,126,382676
139,691439,751561,5,133840,1,5,11,141,73,97,186356.5
140,638946,793215,7,148642,5,1,8,158,66,88,114860
141,666466,765086,5,84645,4,9,14,170,104,90,405950
142,556907,848329,7,135305,5,7,14,197,52,84,163225
143,565576,894746,7,112910,4,5,10,171,107,113,272437.5
144,653631,730342,7,115951,1,4,8,197,102,90,220518
145,543149,790766,4,90509,4,5,14,143,50,134,306745.5
146,638415,766346,4,54984,3,5,14,169,50,120,483884
147,671452,796746,2,55584,4,2,8,179,106,85,512492
148,512372,878370,3,114559,1,4,9,180,76,71,237730
149,663985,748107,3,146540,3,7,9,164,63,92,128489.5
150,594417,819295,6,125188,1,2,13,156,81,135,202503
151,597016,787804,6,74444,5,3,8,188,80,79,392635.5
152,615801,720231,4,124042,2,9,9,139,53,120,201073
153,652966,812593,5,69621,3,1,8,164,86,114,453069
154,675812,834425,6,124754,1,6,10,198,61,98,256331.5
155,685877,738545,2,107712,5,10,11,183,68,75,333133
156,691375,711115,4,103666,5,6,15,152,96,108,291810
157,683163,797707,2,110771,3,6,13,196,53,75,301591
158,645485,702547,2,104980,2,5,10,181,76,129,255901.5
159,545701,851076,7,105481,3,9,8,139,53,102,297886
160,558274,709074,7,60237,4,3,11,185,74,100,385196
161,591081,843578,2,54601,5,6,14,198,89,84,504643.5
162,609622,753566,7,61872,2,5,8,191,76,100,427496.5
163,691412,769253,2,145509,1,5,13,139,79,78,150076
164,542613,798150,4,86272,3,10,8,192,96,78,375118
165,642206,724236,6,135473,5,5,12,158,63,100,140798.5
166,640397,883688,3,86838,1,7,11,181,96,119,423231.5
167,590862,743103,3,120151,5,9,12,142,70,80,217562
168,661284,884211,3,120926,5,7,9,166,105,131,299129.5
169,685806,898347,3,76363,4,8,8,152,115,84,503606.5
170,682642,822524,3,89634,1,2,13,183,65,116,394208.5
171,639975,860663,5,60199,1,10,12,185,118,137,558253
172,634610,726256,4,105279,4,9,10,158,59,99,289049.5
173,549326,784319,5,111631,4,1,8,136,113,115,219462.5
174,678638,756501,7,101835,4,8,10,193,84,81,318951
175,501569,832080,6,115822,4,8,13,188,100,117,216831.5
176,655171,797665,6,64547,1,2,15,172,56,99,464634.5
177,664655,832532,3,139295,5,10,12,150,79,112,243097
178,653906,702490,4,60086,5,2,11,168,107,95,439166
179,623627,728146,7,91095,4,7,15,161,119,105,312323.5
180,647956,859535,6,85070,1,10,11,158,102,130,459833.5
181,528476,803291,7,113280,4,5,11,179,85,102,206678
182,663877,712781,4,125669,1,3,12,153,74,74,185485.5
183,570874,753259,5,109579,5,9,8,135,94,110,253476.5
184,557674,825063,6,127322,1,2,15,198,63,136,178520
185,568410,707813,2,145030,2,3,15,179,67,71,58384
186,607956,824296,6,135163,3,4,11,188,70,106,172462
187,679477,764803,6,87261,2,9,14,145,79,79,398998
188,632794,734480,7,120138,3,9,10,155,52,105,224533.5
189,620809,760522,2,146254,3,5,8,151,74,77,107500.5
190,649375,819130,5,70453,4,7,12,170,115,134,460075
191,684983,717859,2,133843,3,5,13,141,84,129,167978.5
192,617306,714214,6,79797,1,10,10,192,63,117,392920.5
193,630842,709467,6,64667,4,4,9,150,106,139,408860.5
194,678529,770463,3,61501,3,5,13,142,62,132,480307
195,568040,877489,5,136622,2,3,12,164,119,75,175102.5
196,596991,815999,6,58064,3,10,8,137,87,86,520659.5
197,585809,708970,5,76096,5,5,13,162,91,83,344820.5
198,698493,747571,2,127410,3,1,12,177,92,128,213768.5
199,679527,810855,3,148234,1,4,10,191,82,94,152879.5
200,500486,810001,5,98772,1,10,14,138,119,94,308867
201,662454,822625,4,145796,4,1,13,176,52,120,159614.5
202,507001,845327,2,87506,5,6,10,185,95,110,331819.5
203,639010,835484,5,107869,4,1,9,165,74,85,304923.5
204,583009,840537,5,148481,2,10,12,172,96,125,166571
205,523637,816084,7,127042,5,6,11,135,86,82,158951.5
206,616026,731088,2,80503,1,4,9,168,101,136,352284.5
207,575455,806748,6,136584,1,8,11,182,108,79,157507
208,572334,897566,7,55973,3,9,15,177,53,85,532570.5
209,643744,742863,4,64764,4,10,9,151,99,135,484480.5
210,617090,734310,5,142275,5,10,10,185,86,80,156825.5
211,588774,756503,5,137960,4,3,8,197,115,70,120092.5
212,548477,726882,6,58604,3,4,11,153,117,105,400257
213,639403,846365,7,103143,2,2,12,155,111,117,322204
214,655267,810266,6,58901,1,4,8,187,79,84,493994
215,676577,855183,5,52489,2,9,11,153,56,99,584116.5
216,676638,735838,5,97013,3,3,15,180,99,100,317168.5
217,592057,726915,6,127668,2,6,14,188,107,132,149141.5
218,629786,737281,6,125022,3,10,14,188,85,137,229982
219,699023,838654,7,122196,1,6,13,194,94,139,275837.5
220,566392,823362,6,101287,5,1,10,140,55,74,287588.5
221,633227,838144,7,55789,3,7,11,162,81,105,512885.5
222,596906,858199,4,116213,1,3,12,190,74,123,262576
223,663185,714026,3,68247,3,7,13,189,103,107,424305
224,521785,701108,7,127229,1,6,9,175,64,134,98242.5
225,594696,855105,3,87005,3,9,13,142,56,138,406657.5
226,533182,835338,7,132541,3,4,11,185,83,95,146568
227,645041,752476,7,63498,1,10,10,173,108,72,486590
228,620354,776304,4,84131,5,8,11,185,72,125,379491
229,557635,798449,3,50815,3,1,8,181,115,78,475001.5
230,620634,878823,3,90829,5,5,11,141,58,68,389610
231,634648,822670,7,79220,1,8,15,200,116,90,420075.5
232,692378,826787,3,112953,2,5,11,188,53,81,309449
233,620996,828982,4,143998,1,1,9,169,118,129,148734.5
234,518767,854572,5,80054,4,6,14,186,53,126,369571.5
235,505738,748993,5,89569,1,5,10,189,64,119,269326
236,632007,839452,4,122813,2,5,12,169,70,121,245796
237,600873,718675,5,91204,5,5,15,183,76,133,296829
238,666285,848780,4,69558,2,2,10,140,66,115,479031
239,652099,877998,7,60345,3,9,12,183,94,99,545171
240,663651,834585,7,64973,4,7,10,186,113,126,490000.5
241,656130,716423,3,92903,4,5,8,162,54,140,316827.5
242,644097,753962,3,71701,5,3,13,169,87,69,414035
243,537109,883382,7,105503,3,8,9,177,87,115,296565.5
244,533558,847175,5,148077,2,4,9,182,116,134,97280.5
245,691225,859300,6,73541,4,1,9,153,62,82,477912
246,618988,804859,5,125514,3,10,13,169,119,74,258692
247,543621,788333,5,60253,5,7,12,173,98,102,433627
248,683410,824040,7,67696,4,7,9,175,83,82,483663.5
249,608405,818986,7,73851,1,5,10,175,109,116,411701
250,557758,774611,5,122976,5,4,9,179,105,75,175012.5
251,639784,775197,4,62513,4,3,9,148,115,122,457793
252,568702,849865,7,125268,1,7,11,176,99,116,208468
253,587138,899702,3,114156,1,2,11,182,95,95,286937.5
254,521447,724511,2,114405,5,3,14,179,63,71,167281.5
255,522055,810290,7,141406,3,7,13,156,111,78,100927
256,640818,757650,3,91163,5,6,9,180,109,138,340165
257,541464,752239,3,112964,2,8,13,155,106,79,211528.5
258,500921,792216,6,56937,5,9,14,185,64,117,446300.5
259,577168,735086,3,141554,1,10,14,178,74,95,140061.5
260,530082,846632,5,78169,2,9,8,181,110,100,403886.5
261,612101,852032,2,101865,5,6,9,195,67,138,330281.5
262,645147,858176,4,101263,5,3,9,168,59,129,348000
263,641477,712485,7,144949,5,6,12,151,68,108,94467.5
264,529761,776002,6,132152,1,5,15,144,80,105,122225.5
265,694439,834193,5,68013,3,5,15,179,107,81,492681.5
266,598889,827568,7,97160,3,5,15,165,69,99,318148
267,643100,860268,3,111289,2,1,12,153,80,97,306660
268,548861,857901,2,75116,5,3,8,158,120,89,404800.5
269,508137,807048,5,122974,1,2,9,193,111,78,164382
270,614371,898435,7,52712,5,7,13,136,91,125,547378
271,627918,872779,5,78154,5,6,10,165,100,124,441865
272,607360,890036,3,102435,5,6,9,146,70,119,344495
273,550135,746967,2,51894,4,8,15,160,108,75,458139
274,562835,883760,2,138955,2,2,14,181,106,118,167794
275,605017,835653,4,98980,4,7,13,146,106,125,333091.5
276,587327,780473,2,118664,5,5,10,137,60,104,212553.5
277,680771,842283,4,52266,3,5,13,139,100,124,553901
278,699859,879210,5,136497,1,1,14,191,80,110,242273.5
279,640520,751024,4,129251,2,3,13,142,77,110,178642.5
280,620214,899611,7,124062,4,5,8,186,85,125,257565.5
281,690955,714804,6,67692,4,6,8,151,84,126,432836
282,532196,811276,4,100003,1,6,14,151,90,132,275385
283,664983,736838,3,95495,2,9,10,137,56,78,348535
284,636153,720593,2,127404,1,3,14,144,67,118,169125.5
285,601097,848296,7,59454,3,9,11,135,84,71,508328.5
286,542393,735671,2,116626,2,1,11,143,58,138,172758.5
287,698848,706280,7,111194,2,10,10,199,57,133,299645
288,644241,874805,7,63098,3,2,15,187,98,131,499185.5
289,523545,737642,5,82580,4,3,12,187,98,100,299609
290,573928,847579,4,101567,2,7,9,143,84,92,312593
291,661301,714269,4,135652,4,4,11,140,86,72,145898.5
292,697488,887714,2,130004,3,6,10,198,57,99,276805.5
293,531597,731262,5,143526,3,7,8,175,110,137,64531
294,509580,768883,4,123140,5,9,15,162,60,79,177509.5
295,568019,713735,5,140488,2,6,12,149,96,93,81507.5
296,691841,794219,5,71198,5,2,10,146,55,118,458463.5
297,542658,847107,3,120144,4,6,10,190,80,88,218814
298,504320,706580,7,95032,3,3,14,164,71,138,217446
299,547887,721567,7,126379,1,1,8,147,97,119,121022
300,619188,880381,3,60367,3,9,12,178,50,97,538075.5
301,532784,822216,4,69525,1,8,9,181,111,68,415493
302,664917,802058,6,58798,4,5,8,171,61,82,496671
303,577471,890960,3,64120,3,6,13,144,51,113,481862
304,544374,858658,6,58398,4,4,13,182,101,105,465338.5
305,536331,747386,2,103983,3,5,13,159,72,102,227845.5
306,536651,748422,5,63020,4,7,8,186,82,95,398023
307,561292,892767,2,138370,2,7,14,169,60,108,182219.5
308,553776,720207,2,139638,2,9,15,164,56,74,108223.5
309,571728,707666,4,78673,4,7,12,179,77,94,333655.5
310,522705,843629,2,55690,4,5,11,190,83,106,462715.5
311,673637,752116,3,92577,3,10,15,162,117,87,392864
312,509579,761720,2,65706,4,10,8,148,84,75,423507
313,623763,771524,7,71571,1,2,14,136,50,100,403213.5
314,647470,756235,6,88184,4,7,14,141,81,113,354409.5
315,656362,723313,6,57026,3,9,8,184,69,134,487717
316,568580,820067,7,56749,2,4,12,135,66,124,459686.5
317,642174,749626,3,127775,5,4,9,182,120,129,187009
318,655721,806559,5,106474,3,2,12,197,115,115,304104.5
319,588901,868312,3,97934,5,5,10,184,113,79,340112
320,520307,858444,7,125057,5,5,10,150,62,135,184092.5
321,692252,803941,3,52686,1,8,12,191,71,73,553855
322,607575,812966,3,129779,1,5,11,169,119,106,192853.5
323,578865,738976,5,139287,2,7,12,170,111,104,108894
324,536149,822452,7,98529,3,6,12,143,69,138,281037.5
325,669877,772794,3,55313,2,4,9,140,70,88,500679.5
326,536176,735637,6,145766,1,6,8,147,114,69,53040
327,592277,878871,4,122589,1,9,8,200,96,85,274453.5
328,593508,899797,3,56201,5,6,11,144,84,115,527409.5
329,630048,838764,7,113078,3,5,15,173,74,119,275670
330,574876,759437,3,52498,1,5,12,137,79,95,458833.5
331,637577,744443,5,99114,3,2,14,189,120,86,293424.5
332,648198,858419,2,125519,3,8,8,185,105,109,267953.5
333,543506,880724,5,120404,5,1,15,169,71,130,230797
